1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,3.0665834351856573e-294,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.9999939033020998,6.096697900192476e-06,1.2568844598198137e-104,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,5.472288105710599e-51,0.0,0.0,0.0,0.0,0.0,
