1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,1.2056199659287246e-234,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,1.0990605836273305e-28,1.0,1.4837048131655303e-52,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,2.4599706821583677e-223,0.0,0.0,0.0,0.0,0.0,
