1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,6.786420962951232e-261,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.9999999713757447,2.8624255235087527e-08,7.12820440821695e-68,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,1.687193260955704e-155,0.0,0.0,0.0,0.0,0.0,
